title,img1,img2,price,status,brand
[DC6991-016] M NIKE AIR JORDAN 1 LOW ' LIGHT SMOKE GREY GYM RED',https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/air-jordan-1-low-se-light-smoke-grey-gym-red-wethenew-2-200x-png-v-1640094858-d49a96c6-01b0-45a2-a20b-9d3a10389c12.jpg?v=1643100569000,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/air-jordan-1-low-se-light-smoke-grey-gym-red-wethenew-1-2000x-png-v-1640094858-7e495229-68a1-49d7-a679-0465086d7ec4.jpg?v=1643100561000,5.250.000?,41|42|42.5|43|44.5,JORDAN
[DM0589-016] K NIKE AIR JORDAN 1 LOW 'LIGHT SMOKE GREY GYM RED',https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/air-jordan-1-low-se-light-smoke-grey-gym-red-wethenew-2-200x-png-v-1640094858.jpg?v=1643100506000,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/air-jordan-1-low-se-light-smoke-grey-gym-red-wethenew-1-2000x-png-v-1640094858.jpg?v=1643100496000,4.250.000?,36|37.5|38.5|39,JORDAN
[GW7659] M ADIDAS ULTRABOOTS 5.0 DNA 'WHITE',https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/ultraboost-5-0-dna-trang-gw7659-02-standard-hover.jpg?v=1643100269000,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/ultraboost-5-0-dna-trang-gw7659-01-standard.jpg?v=1643100248000,4.550.000?,36|38,ADIDAS
[S24185] W ADIDAS SUPERCOURT XX 'SCARLET',https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/giay-supercourt-xx-trang-s24185-02-standard-hover.jpg?v=1643100184000,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/giay-supercourt-xx-trang-s24185-01-standard.jpg?v=1643100174000,2.650.000?,38.7,ADIDAS
[FY6033] M ADIDAS ADVANTAGE ECO 'WHITE',https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/advantage-eco-shoes-white-fy6033-02-standard-hover.jpg?v=1643100085000,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/advantage-eco-shoes-white-fy6033-01-standard.jpg?v=1643100077000,1.590.000?,40|40.7|41.3|42|42.7|43.1,ADIDAS
[GZ5885] M ADIDAS STAN SMITH DISNEY MONSTER,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/giay-stan-smith-disney-monsters-inc-trang-gz5885-42-detail.jpg?v=1642654656000,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/giay-stan-smith-disney-monsters-inc-trang-gz5885-011-hover-standard.jpg?v=1642654656000,2.190.000?,36|36.7|37.3|38|38.7|39.3,ADIDAS
[DA4074-101] K NIKE BLAZER LOW '77 BLACK/WHITE,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/nike-blazer-low-vintage-gs-white-black-da4074-101-5-600x361.jpg?v=1641969346000,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/nike-blazer-low-vintage-gs-white-black-da4074-101.jpg?v=1641969346000,2.190.000?,36|37.5|38.5|39|40,NIKE
[GX3386] M ADIDAS SUPERSTAR PULSE AQUA/PINK TINT,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/giay-superstar-trang-gx3386-04-standard.jpg?v=1641968792000,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/giay-superstar-trang-gx3386-01-standard.jpg?v=1641968778000,2.300.000?,36.7|37.3|38,ADIDAS
[GZ3413] M ADIDAS SUPERSTAR ECRU TINT/HALO SILVER,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/superstar-shoes-white-gz3413-02-standard-hover.jpg?v=1641968706000,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/superstar-shoes-white-gz3413-01-standard.jpg?v=1641968689000,2.300.000?,36|38.7|40,ADIDAS
[DC9486-101] W NIKE AIR FORCE 1 LOW NATURE WHITE METALLIC GREY,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/nike-air-force-1-low-next-nature-white-metallic-grey-dc9486-101-1-2000x-png-v-1640172340.jpg?v=1640952129000,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/nike-air-force-1-low-next-nature-white-metallic-grey-dc9486-101-2-2000x-png-v-1640172340.jpg?v=1640952115000,2.950.000?,38|38.5|39,NIKE
[CW6536-100] W NIKE COURT VISION ALTA TXT WHITE/LIGHT DEW,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/court-vision-alta-shoes-8xrqqk-f99c0e69-83c8-4f70-84a2-a574905162e7.png?v=1640949531000,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/court-vision-alta-shoes-8xrqqk.png?v=1640949506000,2.190.000?,36.5|37.5|38|38.5|39,NIKE
[CW6536-101] W NIKE COURT VISION ALTA TXT LIGHT SOFT PINK/ MAGIC EMBER,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/9f7f561b96-sp-10101116.jpg?v=1640852158000,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/8739d74954-sp-10101116.jpg?v=1640852158000,2.190.000?,36.5|37.5|38|38.5|39,NIKE
"[GY0092] M ADIDAS NMD HU PHARRELL ""CORE WHITE""",https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/product-xsmall-3edaf7f8-8b08-478e-bf7b-6f1354f64c3a.jpg?v=1640086417000,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/product-xsmall.jpg?v=1640086398000,7.900.000?,37.3|38.7|39.3,ADIDAS
"[GY0093] M ADIDAS NMD HU PHARRELL ""BLACK""",https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/hu-nmd-shoes-black-gy0093-01-standard.jpg?v=1640089153000,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/hu-nmd-shoes-black-gy0093-02-standard.jpg?v=1640089153000,7.900.000?,39.3,ADIDAS
"[Q46467] M ADIDAS NMD HU PHARRELL ""CRYSTAL WHITE""",https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/pharrell-adidas-nmd-hu-asia-pacific-q46467-release-date-1.jpg?v=1640086541000,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/pharrell-adidas-nmd-hu-asia-pacific-q46467.jpg?v=1640086525000,7.900.000?,36|36.7|37.3|38|38.7|39.3|40,ADIDAS
"[H03955] W ADIDAS SUPERSTAR J x LEGO ""RED""",https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/giay-adidas-superstar-x-lego-r-trang-h03955-04-standard.jpg?v=1640079123000,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/giay-adidas-superstar-x-lego-r-trang-h03955-hm1.jpg?v=1640079123000,2.190.000?,36.7,ADIDAS
"[H03957] W ADIDAS SUPERSTAR J x LEGO ""GREEN""",https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/giay-adidas-superstar-x-lego-r-trang-h03957-04-standard.jpg?v=1640079024000,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/giay-adidas-superstar-x-lego-r-trang-h03957-hm1.jpg?v=1640079024000,2.190.000?,36.7,ADIDAS
[H03883] W ADIDAS STAN SMITH VIOLET TONE/CLEAR PINK,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/stan-smith-shoes-white-h03883-05-standard.jpg?v=1640093506000,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/stan-smith-shoes-white-h03883-09-standard.jpg?v=1640093506000,2.190.000?,36|38.7|36.7|37.3|38|39.3,ADIDAS
[H05667] W ADIDAS SUPERSTAR CLOUD WHITE/RAY PINK,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/giay-superstar-trang-h05667-02-standard-hover.jpg?v=1640091045000,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/giay-superstar-trang-h05667-01-standard.jpg?v=1640091036000,2.190.000?,36|36.7|37.3|38|38.7,ADIDAS
"[H03958] W ADIDAS SUPERSTAR J x LEGO ""EQT YELLOW""",https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/giay-adidas-superstar-x-lego-r-trang-h03958-02-standard-hover.jpg?v=1640079284000,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/giay-adidas-superstar-x-lego-r-trang-h03958-hm1.jpg?v=1640079206000,2.190.000?,36.7,ADIDAS
