title,img1,img2,price,status,brand
"[GX5376] M ADIDAS ADILETTE LITE SLIDES ""CLOUD WHITE""",https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/adilette-lite-slides-white-gx5376-04-standard.jpg?v=1623416569000,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/adilette-lite-slides-white-gx5376-02-standard-hover.jpg?v=1623416348000,900.000?,37|38|39|40.5|42|43,ADIDAS
"[AR6374-016] M AIR JORDAN BREAK SLIDES ""BLACK/WHITE/UNIVERSITY RED""",https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/5a6cef88-c38a-435a-ad61-0795848b1b25.jpg?v=1621277134000,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/869204bb-b419-4805-8842-8df7248910e0.jpg?v=1621277128000,1.150.000?,40|41|42.5|44|45,JORDAN
"[EG1885] W ADIDAS ADILETTE ""GREEN / WHITE""",https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/b7a08651-a355-470c-acd2-cf0379b9b137.jpg?v=1618317093000,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/201a9f6d-4e1b-4165-a831-4354f477af51.jpg?v=1618317087000,750.000?,37|38|39,ADIDAS
"[FU8298] M ADIDAS ADILETTE LITE ""BLACK""",https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/4896dd37-6a59-450f-90e0-f052a81012db.jpg?v=1618301350000,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/4896dd37-6a59-450f-90e0-f052a81012db.jpg?v=1618301350000,800.000?,37|38|39|42|43|42.0|43.0|44.5,ADIDAS
"[EG1886] W ADIDAS ADILETTE SHOWER ""PINK WHITE""",https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/b876cbd1-1c3a-4f2b-a999-8c376bf423c3.jpg?v=1615889964000,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/b876cbd1-1c3a-4f2b-a999-8c376bf423c3.jpg?v=1615889964000,750.000?,37|38|39,ADIDAS
[F33934] W ADIDAS ADILETTE SLIDES CORE BLACK,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/2120e0e8-71a9-43c5-b266-e8a3e8ae85f4.jpg?v=1614593674000,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/2120e0e8-71a9-43c5-b266-e8a3e8ae85f4.jpg?v=1614593674000,1.250.000?,37|38|39,ADIDAS
"[BQ4626-002] M NIKE AIR MAX CAMDEN SLIDE ""BLACK/ UNIVERSITY RED""",https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/dep-nike-mens-air-max-camden-slide-redbq4626-00205.jpg?v=1649338633000,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/61edbog30nl.jpg?v=1649338633000,2.090.000?,41,NIKE
"[618919-117] W NIKE BENASSI JDI FLORAL SLIDES ""WHITE/RED""",https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/160914653-4068378463196704-9044089194582177857-o.jpg?v=1616578627000,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/160914653-4068378463196704-9044089194582177857-o.jpg?v=1616578627000,990.000?,36.5|38|39|40.5|42|43,NIKE
"[CN9678-001] M NIKE VICTORI ONE PRINTED SLIDE ""CAMO-BLACK/GREY""",https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/victori-one-printed-slide-kvk89c-jpeg.jpg?v=1619166255000,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/victori-one-printed-slide-kvk89c-jpeg.jpg?v=1619166255000,1.150.000?,38.5|40|41|44,NIKE
"[CN9676-003] W NIKE VICTORI ONE PRINTED SLIDE ""TROPICAL FLOWER PRINT""",https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/52c8dc84-490a-47ba-b042-0889bcb79aa5.jpg?v=1618308501000,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/52c8dc84-490a-47ba-b042-0889bcb79aa5.jpg?v=1618308501000,1.150.000?,35.5|36.5|38|39,NIKE
